"air_temperature","sea_temperature","station"
6.455,8.877,M2
6.406,8.864,M2
6.504,8.864,M2
6.113,8.86,M2
5.869,8.855,M2
5.479,8.848,M2
4.99,8.848,M2
5.039,8.829,M2
6.602,8.818,M2
6.553,8.82,M2
6.211,8.8,M2
6.016,8.793,M2
6.016,8.782,M2
6.162,8.774,M2
5.82,8.782,M2
5.918,8.767,M2
6.064,8.782,M2
6.309,8.791,M2
6.357,8.776,M2
6.357,8.774,M2
6.26,8.769,M2
6.65,8.767,M2
7.09,8.754,M2
7.285,8.736,M2
7.822,8.741,M2
8.164,8.749,M2
8.652,8.771,M2
8.75,8.839,M2
8.604,8.824,M2
8.896,8.822,M2
8.945,8.806,M2
9.092,8.793,M2
8.848,8.778,M2
8.799,8.773,M2
8.896,8.773,M2
8.945,8.747,M2
8.945,8.73,M2
8.896,8.718,M2
8.994,8.736,M2
9.189,8.736,M2
9.189,8.762,M2
9.189,8.767,M2
9.189,8.771,M2
9.141,8.774,M2
9.141,8.776,M2
9.043,8.773,M2
9.287,8.763,M2
9.141,8.756,M2
9.092,8.736,M2
8.994,8.727,M2
9.189,8.727,M2
9.238,8.725,M2
9.336,8.756,M2
9.287,8.763,M2
9.336,8.767,M2
9.434,8.778,M2
9.385,8.776,M2
8.359,8.699,M2
8.555,8.677,M2
8.604,8.676,M2
8.652,8.688,M2
8.604,8.727,M2
8.359,8.74,M2
8.018,8.751,M2
7.871,8.752,M2
7.725,8.74,M2
7.822,8.719,M2
8.115,8.67,M2
8.506,8.648,M2
8.848,8.624,M2
9.141,8.632,M2
9.482,8.648,M2
9.678,8.688,M2
9.189,8.734,M2
9.189,8.747,M2
9.238,8.749,M2
9.336,8.747,M2
9.287,8.743,M2
9.336,8.729,M2
9.189,8.681,M2
8.896,8.635,M2
8.848,8.606,M2
8.945,8.6,M2
9.043,8.608,M2
9.092,8.643,M2
9.189,8.701,M2
9.336,8.738,M2
8.994,8.749,M2
9.043,8.752,M2
9.189,8.758,M2
8.994,8.708,M2
8.506,8.613,M2
8.604,8.589,M2
8.164,8.595,M2
7.871,8.578,M2
8.018,8.679,M2
8.359,8.654,M2
8.408,8.584,M2
8.164,8.56,M2
8.262,8.584,M2
8.115,8.677,M2
7.871,8.668,M2
7.725,8.547,M2
7.48,8.547,M2
