"air_temperature","sea_temperature","station"
8.75,11.42,M2
8.799,11.428,M2
8.994,11.42,M2
8.945,11.353,M2
8.945,11.303,M2
9.092,11.349,M2
9.336,11.364,M2
9.434,11.354,M2
8.701,11.318,M2
8.945,11.325,M2
8.652,11.307,M2
8.408,11.307,M2
8.604,11.301,M2
8.457,11.301,M2
7.822,11.329,M2
7.822,11.349,M2
7.871,11.375,M2
7.725,11.391,M2
7.822,11.391,M2
7.725,11.375,M2
7.139,11.384,M2
6.895,11.343,M2
6.895,11.294,M2
6.748,11.314,M2
6.65,11.298,M2
6.699,11.303,M2
6.553,11.338,M2
6.65,11.32,M2
6.162,11.27,M2
6.016,11.252,M2
5.088,11.224,M2
4.99,11.23,M2
4.941,11.232,M2
5.283,11.248,M2
6.162,11.261,M2
6.602,11.263,M2
7.09,11.252,M2
7.236,11.245,M2
7.041,11.252,M2
7.578,11.215,M2
7.871,11.175,M2
8.604,11.118,M2
9.043,11.104,M2
9.336,11.142,M2
9.531,11.153,M2
9.434,11.146,M2
9.141,11.158,M2
9.873,11.179,M2
10.02,11.188,M2
10.02,11.186,M2
10.117,11.162,M2
10.996,11.162,M2
10.85,11.115,M2
10.85,11.12,M2
10.898,11.168,M2
10.947,11.18,M2
11.045,11.155,M2
10.801,11.113,M2
10.85,11.107,M2
11.484,11.122,M2
11.484,11.18,M2
11.631,11.157,M2
11.68,11.153,M2
11.631,11.124,M2
11.729,11.219,M2
11.875,11.294,M2
12.07,11.296,M2
12.021,11.252,M2
13.633,11.212,M2
13.34,11.147,M2
13.096,11.153,M2
12.51,11.144,M2
12.51,11.14,M2
12.559,11.144,M2
12.119,11.162,M2
11.777,11.201,M2
11.68,11.213,M2
11.777,11.195,M2
11.533,11.195,M2
11.533,11.201,M2
11.68,11.206,M2
11.777,11.149,M2
11.729,11.14,M2
11.68,11.146,M2
11.729,11.115,M2
11.777,11.142,M2
11.631,11.191,M2
11.582,11.184,M2
11.143,11.171,M2
11.289,11.155,M2
11.045,11.146,M2
11.143,11.131,M2
10.947,11.131,M2
10.85,11.104,M2
10.752,11.072,M2
10.801,11.118,M2
10.752,11.157,M2
10.703,11.206,M2
10.41,11.16,M2
10.654,11.147,M2
10.703,11.138,M2
10.947,11.138,M2
11.24,11.124,M2
11.191,11.124,M2
11.289,11.124,M2
11.289,11.116,M2
11.387,11.113,M2
11.338,11.061,M2
11.191,11.045,M2
11.191,11.072,M2
11.387,11.071,M2
10.605,11.074,M2
10.264,11.085,M2
10.313,11.098,M2
9.922,11.096,M2
9.824,11.105,M2
9.775,11.06,M2
9.727,11.021,M2
9.727,10.988,M2
9.629,11.06,M2
9.482,11.06,M2
9.58,11.063,M2
9.092,11.054,M2
9.189,11.047,M2
9.287,10.975,M2
9.336,11.01,M2
9.482,11.01,M2
9.678,11.021,M2
10.117,10.972,M2
10.508,11.012,M2
10.605,11.065,M2
10.947,11.074,M2
10.996,11.074,M2
11.094,11.067,M2
11.68,11.082,M2
11.387,11.08,M2
11.631,11.047,M2
10.85,11.041,M2
10.703,11.045,M2
10.752,11.038,M2
10.801,11.047,M2
10.557,11.063,M2
9.922,11.089,M2
9.873,11.1,M2
9.824,11.096,M2
9.971,11.094,M2
9.922,11.083,M2
9.434,11.038,M2
9.775,11.019,M2
10.02,11.05,M2
9.141,11.061,M2
7.188,10.937,M2
7.139,10.942,M2
7.578,10.95,M2
7.969,10.946,M2
8.652,10.944,M2
9.238,10.941,M2
9.092,10.941,M2
8.701,10.955,M2
8.408,10.955,M2
8.652,10.933,M2
8.701,10.937,M2
8.701,10.944,M2
8.701,10.95,M2
8.848,10.915,M2
8.213,10.898,M2
8.506,10.906,M2
9.629,10.911,M2
8.848,10.909,M2
8.848,10.92,M2
9.678,10.939,M2
10.996,10.937,M2
11.387,10.92,M2
11.68,10.913,M2
11.875,10.906,M2
11.533,10.897,M2
11.777,10.893,M2
11.68,10.902,M2
11.68,10.904,M2
11.924,10.909,M2
11.094,10.909,M2
10.85,10.906,M2
10.068,10.906,M2
10.264,10.904,M2
9.727,10.893,M2
9.629,10.88,M2
9.727,10.869,M2
9.531,10.886,M2
8.896,10.898,M2
9.043,10.904,M2
9.092,10.897,M2
8.848,10.864,M2
8.994,10.84,M2
9.434,10.862,M2
9.141,10.845,M2
9.141,10.844,M2
8.848,10.845,M2
9.092,10.845,M2
7.969,10.853,M2
8.652,10.865,M2
8.555,10.88,M2
