"temperature","feels_like","humidity","time","location"
20.0,18.53,18.0,"2021-01-01 05:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 05:30:00",Guest Room
24.0,24.07,62.0,"2021-01-01 05:30:00",Fernanda's Room
18.0,17.45,61.0,"2021-01-01 05:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 05:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 05:45:00",Guest Room
24.0,24.05,61.0,"2021-01-01 05:45:00",Fernanda's Room
18.0,17.42,60.0,"2021-01-01 06:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 06:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 06:00:00",Guest Room
24.0,24.05,61.0,"2021-01-01 06:00:00",Fernanda's Room
18.0,17.42,60.0,"2021-01-01 06:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 06:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 06:15:00",Guest Room
24.0,24.05,61.0,"2021-01-01 06:15:00",Fernanda's Room
19.0,18.52,60.0,"2021-01-01 06:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 06:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 06:30:00",Guest Room
24.0,24.05,61.0,"2021-01-01 06:30:00",Fernanda's Room
19.0,18.52,60.0,"2021-01-01 06:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 06:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 06:45:00",Guest Room
24.0,24.05,61.0,"2021-01-01 06:45:00",Fernanda's Room
19.0,18.52,60.0,"2021-01-01 07:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 07:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 07:00:00",Guest Room
24.0,24.05,61.0,"2021-01-01 07:00:00",Fernanda's Room
19.0,18.52,60.0,"2021-01-01 07:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 07:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 07:15:00",Guest Room
24.0,24.05,61.0,"2021-01-01 07:15:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 07:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 07:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 07:30:00",Guest Room
24.0,24.05,61.0,"2021-01-01 07:30:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 07:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 07:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 07:45:00",Guest Room
24.0,24.05,61.0,"2021-01-01 07:45:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 08:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 08:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 08:00:00",Guest Room
24.0,24.02,60.0,"2021-01-01 08:00:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 08:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 08:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 08:15:00",Guest Room
24.0,24.02,60.0,"2021-01-01 08:15:00",Fernanda's Room
19.0,18.5,59.0,"2021-01-01 08:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 08:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 08:30:00",Guest Room
24.0,24.02,60.0,"2021-01-01 08:30:00",Fernanda's Room
19.0,18.47,58.0,"2021-01-01 08:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 08:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 08:45:00",Guest Room
