"daily_precipitation","daily_duration","year","month","day"
6.20935,2.8000,2023,2,22
6.20935,2.8000,2023,2,23
6.11247,2.2500,2022,10,28
6.01791,2.5833,2022,7,23
5.95169,1.1500,2022,11,29
5.81266,1.6500,2022,6,7
5.68561,0.7833,2022,12,9
5.68561,0.7667,2022,12,10
5.60297,0.3833,2023,1,12
5.60297,0.3833,2023,1,13
5.55407,0.5000,2022,9,23
5.47625,2.8667,2021,12,11
5.46486,1.7500,2022,10,26
5.45792,1.7000,2022,11,13
5.45781,0.7333,2023,2,14
5.40729,1.6500,2021,12,27
5.27311,1.1167,2022,8,2
5.1904,2.0000,2023,2,8
5.1904,2.0000,2023,2,9
5.10643,3.1333,2022,4,16
4.87692,1.4000,2022,10,25
4.69917,1.4833,2022,3,17
4.69917,1.4833,2022,3,18
4.64543,3.1000,2022,6,26
4.56809,2.4167,2022,3,14
4.24879,3.1500,2023,1,5
4.23205,1.0500,2022,7,22
4.19953,3.4333,2023,1,20
4.19953,3.4333,2023,1,21
4.16366,2.5000,2022,6,5
4.08499,4.9167,2022,6,10
4.07007,3.5333,2021,11,28
4.07007,3.5333,2021,11,29
4.02337,0.9667,2022,5,11
4.00559,1.6500,2022,2,27
4.00559,1.6500,2022,2,28
3.85303,1.0667,2023,3,26
3.83035,2.0667,2022,4,4
3.4667,1.8000,2022,7,1
3.39366,2.1333,2022,5,24
3.23971,3.8833,2021,12,31
3.15262,0.2167,2022,3,1
2.86971,6.3000,2022,2,8
2.80438,0.4667,2022,10,12
2.78836,0.7000,2022,10,30
2.67904,1.1333,2022,6,29
2.66831,0.5333,2022,1,4
2.66831,0.5333,2022,1,5
2.65393,0.9500,2022,8,3
2.535,0.8000,2022,7,2
2.40862,1.7000,2022,6,6
2.35643,2.6000,2022,10,22
2.30516,1.0167,2023,1,11
2.28268,0.6000,2022,10,1
2.26008,3.1833,2023,2,18
2.24718,3.1333,2023,2,17
2.16187,0.9000,2022,8,19
2.12271,1.7000,2022,11,12
2.10294,0.5167,2022,5,7
2.08322,0.3000,2022,2,10
2.07468,1.1833,2022,7,12
1.97599,0.0500,2022,9,8
1.95093,3.1500,2023,1,6
1.90386,0.5167,2022,6,30
1.88339,0.5167,2022,5,19
1.87877,1.9667,2022,6,17
1.87318,0.8167,2022,1,27
1.87318,0.8000,2022,1,26
1.79171,0.7833,2022,12,8
1.73927,0.4500,2022,4,19
1.72819,0.5167,2023,1,2
1.6827,0.1000,2022,12,11
1.65536,0.4167,2022,4,15
1.59393,0.3333,2023,1,16
1.56952,1.2333,2022,5,16
