"wind_gust","year","month","day"
3.0031597243725425,2022,5,1
1.5329916300810613,2022,6,1
3.364676862715629,2022,7,1
3.6080902799795798,2022,8,1
1.0843324061024608,2022,9,1
4.864721448806667,2022,10,1
4.385854169974724,2022,11,1
1.4031361859683165,2022,12,1
1.4157529471714843,2022,5,2
1.8250315766232579,2022,6,2
3.4093750030630163,2022,7,2
5.201898473194478,2022,8,2
1.772230716784633,2022,9,2
1.7189283209944257,2022,10,2
6.616134640824704,2022,11,2
2.63340972362914,2022,5,3
1.9236122723837672,2022,6,3
3.4045972245021,2022,7,3
3.6923611149191857,2022,8,3
0.94924358034986,2022,9,3
3.432600836386135,2022,10,3
2.4594780796090183,2022,11,3
3.0023021040324824,2022,5,4
3.4415546211541868,2022,6,4
3.2906250038908587,2022,7,4
3.260173731499699,2022,8,4
2.1595902766049324,2022,9,4
3.084795279460678,2022,10,4
2.420291666671013,2022,11,4
3.3186100432924936,2022,12,4
3.3156463411523074,2022,5,5
2.3179286214502812,2022,6,5
2.7656428083270024,2022,7,5
2.544233984473449,2022,8,5
3.034791377783651,2022,9,5
5.393849898121935,2022,10,5
3.4290277756750585,2022,11,5
3.5451944504347113,2022,12,5
2.9882477873194535,2022,5,6
1.3219957991518831,2022,6,6
3.7054311587515394,2022,7,6
1.9808895071338062,2022,8,6
2.4823974983157013,2022,9,6
6.132777786420451,2022,10,6
3.635315755603216,2022,11,6
3.003324082609858,2022,12,6
1.3937569444792137,2022,5,7
2.3421448454426854,2022,6,7
2.1088734335461643,2022,7,7
1.739451388637018,2022,8,7
2.0930737138859232,2022,9,7
5.023368122101494,2022,10,7
3.8586161396102217,2022,11,7
1.3705208316613506,2022,12,7
2.4513388177632125,2022,5,8
5.005268364387043,2022,6,8
1.9697703556958055,2022,7,8
1.640445371724214,2022,8,8
2.2150034714707636,2022,9,8
2.061375954762474,2022,10,8
4.327769288095523,2022,11,8
1.3946981259739952,2022,12,8
4.294197360867837,2022,5,9
4.155411437548687,2022,6,9
1.5304030565761129,2022,7,9
1.379958303927433,2022,8,9
2.422376649921515,2022,9,9
3.6018320650462057,2022,10,9
5.326259547848407,2022,11,9
0.7840751041574028,2022,12,9
5.6996177912918204,2022,5,10
6.043991631173788,2022,6,10
1.4305083559576972,2022,7,10
1.3803059796599337,2022,8,10
1.1916249999608328,2022,9,10
2.394326390393285,2022,10,10
6.894082073541941,2022,11,10
